Different Creators,2009,1.33,13.51,0,2.29,17.16
Microsoft,2009,73.97,33.91,1.95,11.09,120.85
Nintendo,2009,178.95,85.88,40.78,26.52,332.43
Sony,2009,84.6,58.29,19.16,34.87,196.86
Different Creators,2010,9.13,12.09,0,3.2,24.46
Microsoft,2010,107.21,47.42,2.11,14.21,171.05
Nintendo,2010,117.39,57.57,28.64,16.2,219.78
Sony,2010,70.51,59.65,28.74,26.29,185.16
Different Creators,2011,10.67,18.89,0,5.63,35.25
Microsoft,2011,86.7,43.85,1.78,12.75,145.12
Nintendo,2011,74.99,43.12,22.7,11.9,152.74
Sony,2011,68.7,61.58,28.56,24.11,182.88
Different Creators,2012,7.95,12.36,0,3.19,23.53
Microsoft,2012,58.32,33.17,1.06,8.27,100.88
Nintendo,2012,41.84,26.27,29.11,6.05,103.39
Sony,2012,46.85,46.98,21.57,20.31,135.74
Different Creators,2013,3.84,7.34,0,1.62,12.83
Microsoft,2013,64.93,33.85,0.45,8.94,108.21
Nintendo,2013,31.11,25.62,27.11,5.17,89.04
Sony,2013,54.89,58.99,20.03,24.09,158.03
Different Creators,2014,3.4,8.62,0,1.31,13.39
Microsoft,2014,50.5,30.83,0.22,7.32,88.85
Nintendo,2014,24.65,17.35,23.8,4.31,70.11
Sony,2014,53.42,68.85,15.44,27.08,164.7
Different Creators,2015,2.2,5.28,0,0.55,8.07
Microsoft,2015,41.4,22.75,0.17,6.37,70.71
Nintendo,2015,13.16,10.54,18.8,2.4,44.92
Sony,2015,46.06,59.14,14.75,20.69,140.74
Different Creators,2016,0.84,1.59,0,0.17,2.6
Microsoft,2016,7.05,5.03,0.01,1.12,13.2
Nintendo,2016,2.32,1.56,5.58,0.37,9.89
Sony,2016,12.45,18.58,8.11,6.09,45.24
Sony,2017,0,0,0.05,0,0.05
Nintendo,2020,0.27,0,0,0.02,0.29
Atari,N/A,9.82,0.61,0,0.07,10.51
Different Creators,N/A,1.18,2.04,0,0.53,3.77
Microsoft,N/A,11.35,3.87,0.13,1.11,16.52
Nintendo,N/A,19.06,6.22,3.14,2.01,30.47
Sony,N/A,18.11,12.27,3.45,5.02,38.81
